customer_id,age,country,city,plan,monthly_price,payment_method,mes,subscription_months,sessions_last_30d,hours_watched,unique_content_last_30d,completion_rate,days_since_last_login,devices_used,support_tickets,complaints,failed_payments,churn
1,45,AR,Buenos Aires,estandar,26700,tarjeta_credito,1,1,16,13.1,14,0.48,12,1,0,0,0,0
1,45,AR,Buenos Aires,estandar,26700,tarjeta_credito,2,2,9,6.2,4,0.56,8,2,0,0,1,0
1,45,AR,Buenos Aires,estandar,26700,tarjeta_credito,3,3,15,13.0,12,0.64,12,2,1,1,0,0
1,45,AR,Buenos Aires,estandar,26700,tarjeta_credito,4,4,13,9.7,10,0.3,2,2,0,0,2,0
1,45,AR,Buenos Aires,estandar,26700,tarjeta_credito,5,5,12,14.3,10,0.37,12,1,0,0,0,0
1,45,AR,Buenos Aires,estandar,26700,tarjeta_credito,6,6,13,13.2,5,0.45,6,2,1,0,0,0
2,53,CO,Medellin,basico,15300,tarjeta_credito,1,11,10,11.2,6,0.41,20,2,0,0,0,0
2,53,CO,Medellin,basico,15300,tarjeta_credito,2,12,12,5.4,5,0.81,7,1,0,0,1,0
2,53,CO,Medellin,basico,15300,tarjeta_credito,3,13,11,7.5,5,0.9,18,3,1,0,0,0
2,53,CO,Medellin,basico,15300,tarjeta_credito,4,14,10,6.8,8,0.5,11,2,1,1,0,0
2,53,CO,Medellin,basico,15300,tarjeta_credito,5,15,7,8.2,5,0.45,10,1,1,1,0,0
2,53,CO,Medellin,basico,15300,tarjeta_credito,6,16,17,12.3,12,0.68,10,3,0,0,1,0
3,19,CL,Valparaiso,basico,14500,tarjeta_credito,1,41,22,17.3,16,0.68,0,3,0,0,1,0
3,19,CL,Valparaiso,basico,14500,tarjeta_credito,2,42,18,13.3,11,0.89,0,2,0,0,0,0
3,19,CL,Valparaiso,basico,14500,tarjeta_credito,3,43,23,27.7,12,0.55,0,2,0,0,0,0
3,19,CL,Valparaiso,basico,14500,tarjeta_credito,4,44,19,19.2,10,0.85,0,3,1,1,0,0
3,19,CL,Valparaiso,basico,14500,tarjeta_credito,5,45,20,14.7,14,0.7,0,3,0,0,0,0
3,19,CL,Valparaiso,basico,14500,tarjeta_credito,6,46,20,12.2,10,0.76,0,3,0,0,0,0
4,51,AR,Buenos Aires,estandar,28900,tarjeta_credito,1,1,3,1.6,3,0.59,19,2,0,0,0,0
4,51,AR,Buenos Aires,estandar,28900,tarjeta_credito,2,2,4,4.0,3,0.38,18,2,2,0,0,0
4,51,AR,Buenos Aires,estandar,28900,tarjeta_credito,3,3,6,5.0,5,0.52,29,1,0,0,0,0
4,51,AR,Buenos Aires,estandar,28900,tarjeta_credito,4,4,1,0.7,1,0.39,16,2,0,0,0,0
4,51,AR,Buenos Aires,estandar,28900,tarjeta_credito,5,5,6,3.4,5,0.53,23,2,0,0,0,0
4,51,AR,Buenos Aires,estandar,28900,tarjeta_credito,6,6,5,5.0,2,0.31,15,1,0,0,1,0
5,35,CO,Bogota,estandar,28500,tarjeta_credito,1,23,22,14.2,15,0.77,1,2,0,0,0,0
5,35,CO,Bogota,estandar,28500,tarjeta_credito,2,24,18,12.1,11,0.6,13,3,1,1,0,1
5,35,CO,Bogota,estandar,28500,tarjeta_credito,3,25,23,7.9,18,0.34,8,3,0,0,1,1
5,35,CO,Bogota,estandar,28500,tarjeta_credito,4,26,18,12.7,12,0.57,0,2,0,0,0,1
5,35,CO,Bogota,estandar,28500,tarjeta_credito,5,27,18,10.2,7,0.69,3,3,0,0,0,1
5,35,CO,Bogota,estandar,28500,tarjeta_credito,6,28,17,9.3,11,0.73,2,2,0,0,0,1
6,21,PE,Lima,premium,49500,tarjeta_credito,1,32,12,12.2,6,0.42,2,3,0,0,0,0
6,21,PE,Lima,premium,49500,tarjeta_credito,2,33,15,12.7,8,0.44,2,2,0,0,0,0
